,awardID,yearID,lgID_mvp,playerID,pointsWon,pointsMax,votesFirst,lgID_batting,teamID,nameFirst,nameLast,nameGiven,retroID,bbrefID
0,MVP,1911,NL,adamsba01,1.0,64,0.0,NL,PIT,Babe,Adams,Charles Benjamin,adamb104,adamsba01
1,MVP,1911,NL,alexape01,23.0,64,,NL,PHI,Pete,Alexander,Grover Cleveland,alexg102,alexape01
2,MVP,1911,NL,archeji01,5.0,64,0.0,NL,CHN,Jimmy,Archer,James Patrick,archj102,archeji01
3,MVP,1911,NL,beschbo01,4.0,64,0.0,NL,CIN,Bob,Bescher,Robert Henry,bescb101,beschbo01
4,MVP,1911,NL,brownmo01,4.0,64,0.0,NL,CHN,Mordecai,Brown,Mordecai Peter Centennial,browm102,brownmo01
5,MVP,1911,NL,daubeja01,16.0,64,,NL,BRO,Jake,Daubert,Jacob Ellsworth,daubj101,daubeja01
6,MVP,1911,NL,devorjo01,2.0,64,0.0,NL,NY1,Josh,Devore,Joshua M.,devoj101,devorjo01
7,MVP,1911,NL,doolami01,6.0,64,0.0,NL,PHI,Mickey,Doolin,Michael Joseph,doolm101,doolami01
8,MVP,1911,NL,doylela01,23.0,64,,NL,NY1,Larry,Doyle,Lawrence Joseph,doyll101,doylela01
9,MVP,1911,NL,gibsoge01,4.0,64,0.0,NL,PIT,George,Gibson,George C.,gibsg101,gibsoge01
10,MVP,1911,NL,harmobo01,6.0,64,0.0,NL,SLN,Bob,Harmon,Robert Green,harmb101,harmobo01
11,MVP,1911,NL,hoblidi01,2.0,64,0.0,NL,CIN,Dick,Hoblitzell,Richard Carleton,hobld101,hoblidi01
12,MVP,1911,NL,huggimi01,21.0,64,,NL,SLN,Miller,Huggins,Miller James,huggm101,huggimi01
13,MVP,1911,NL,klingjo01,1.0,64,0.0,NL,CHN,Johnny,Kling,John,klinj101,klingjo01
14,MVP,1911,NL,klingjo01,1.0,64,0.0,NL,BSN,Johnny,Kling,John,klinj101,klingjo01
15,MVP,1911,NL,knabeot01,2.0,64,0.0,NL,PHI,Otto,Knabe,Franz Otto,knabo101,knabeot01
16,MVP,1911,NL,koneted01,2.0,64,0.0,NL,SLN,Ed,Konetchy,Edward Joseph,konee101,koneted01
17,MVP,1911,NL,loberha01,4.0,64,0.0,NL,PHI,Hans,Lobert,John Bernard,lobeh101,loberha01
18,MVP,1911,NL,luderfr01,1.0,64,0.0,NL,PHI,Fred,Luderus,Frederick William,ludef101,luderfr01
19,MVP,1911,NL,marquru01,19.0,64,,NL,NY1,Rube,Marquard,Richard William,marqr102,marquru01
20,MVP,1911,NL,mathech01,25.0,64,,NL,NY1,Christy,Mathewson,Christopher,mathc102,mathech01
21,MVP,1911,NL,merklfr01,19.0,64,,NL,NY1,Fred,Merkle,Carl Frederick Rudolf,merkf101,merklfr01
22,MVP,1911,NL,meyerch01,11.0,64,,NL,NY1,Chief,Meyers,John Tortes,meyec101,meyerch01
23,MVP,1911,NL,mitchmi01,9.0,64,,NL,CIN,Mike,Mitchell,Michael Francis,mitcm102,mitchmi01
24,MVP,1911,NL,ruckena01,1.0,64,0.0,NL,BRO,Nap,Rucker,George Napoleon,ruckn101,ruckena01
25,MVP,1911,NL,schulfr01,29.0,64,,NL,CHN,Frank,Schulte,Frank M.,schuf103,schulfr01
26,MVP,1911,NL,sheckji01,9.0,64,0.0,NL,CHN,Jimmy,Sheckard,Samuel James Tilden,shecj101,sheckji01
27,MVP,1911,NL,sweenbi02,3.0,64,0.0,NL,BSN,Bill,Sweeney,William John,sweeb102,sweenbi02
28,MVP,1911,NL,tinkejo01,11.0,64,,NL,CHN,Joe,Tinker,Joseph Bert,tinkj101,tinkejo01
29,MVP,1911,NL,wagneho01,23.0,64,,NL,PIT,Honus,Wagner,John Peter,wagnh101,wagneho01
30,MVP,1911,NL,walshji01,2.0,64,0.0,NL,PHI,Jimmy,Walsh,Michael Timothy,walsj101,walshji01
31,MVP,1912,NL,alexape01,1.0,64,0.0,NL,PHI,Pete,Alexander,Grover Cleveland,alexg102,alexape01
32,MVP,1912,NL,archeji01,1.0,64,0.0,NL,CHN,Jimmy,Archer,James Patrick,archj102,archeji01
33,MVP,1912,NL,beschbo01,17.0,64,,NL,CIN,Bob,Bescher,Robert Henry,bescb101,beschbo01
34,MVP,1912,NL,daubeja01,13.0,64,,NL,BRO,Jake,Daubert,Jacob Ellsworth,daubj101,daubeja01
35,MVP,1912,NL,doylela01,48.0,64,,NL,NY1,Larry,Doyle,Lawrence Joseph,doyll101,doylela01
36,MVP,1912,NL,eversjo01,2.0,64,0.0,NL,CHN,Johnny,Evers,John Joseph,everj102,eversjo01
37,MVP,1912,NL,hendrcl01,2.0,64,0.0,NL,PIT,Claude,Hendrix,Claude Raymond,hendc101,hendrcl01
38,MVP,1912,NL,huggimi01,5.0,64,0.0,NL,SLN,Miller,Huggins,Miller James,huggm101,huggimi01
39,MVP,1912,NL,knabeot01,10.0,64,,NL,PHI,Otto,Knabe,Franz Otto,knabo101,knabeot01
40,MVP,1912,NL,koneted01,8.0,64,,NL,SLN,Ed,Konetchy,Edward Joseph,konee101,koneted01
41,MVP,1912,NL,marquru01,13.0,64,,NL,NY1,Rube,Marquard,Richard William,marqr102,marquru01
42,MVP,1912,NL,marsaar01,4.0,64,0.0,NL,CIN,Armando,Marsans,Armando,marsa101,marsaar01
43,MVP,1912,NL,mathech01,8.0,64,,NL,NY1,Christy,Mathewson,Christopher,mathc102,mathech01
44,MVP,1912,NL,merklfr01,4.0,64,0.0,NL,NY1,Fred,Merkle,Carl Frederick Rudolf,merkf101,merklfr01
45,MVP,1912,NL,meyerch01,25.0,64,,NL,NY1,Chief,Meyers,John Tortes,meyec101,meyerch01
46,MVP,1912,NL,murrare01,5.0,64,0.0,NL,NY1,Red,Murray,John Joseph,murrr103,murrare01
47,MVP,1912,NL,paskedo01,6.0,64,0.0,NL,PHI,Dode,Paskert,George Henry,paskd101,paskedo01
48,MVP,1912,NL,sweenbi02,16.0,64,,NL,BSN,Bill,Sweeney,William John,sweeb102,sweenbi02
49,MVP,1912,NL,tesreje01,6.0,64,0.0,NL,NY1,Jeff,Tesreau,Charles Monroe,tesrj101,tesreje01
50,MVP,1912,NL,tinkejo01,22.0,64,,NL,CHN,Joe,Tinker,Joseph Bert,tinkj101,tinkejo01
51,MVP,1912,NL,wagneho01,43.0,64,,NL,PIT,Honus,Wagner,John Peter,wagnh101,wagneho01
52,MVP,1912,NL,wilsoch01,13.0,64,,NL,PIT,Chief,Wilson,John Owen,wilsc102,wilsoch01
53,MVP,1912,NL,zimmehe01,16.0,64,,NL,CHN,Heinie,Zimmerman,Henry,zimmh101,zimmehe01
54,MVP,1913,NL,adamsba01,3.0,64,0.0,NL,PIT,Babe,Adams,Charles Benjamin,adamb104,adamsba01
55,MVP,1913,NL,archeji01,6.0,64,0.0,NL,CHN,Jimmy,Archer,James Patrick,archj102,archeji01
56,MVP,1913,NL,brownmo01,1.0,64,0.0,NL,CIN,Mordecai,Brown,Mordecai Peter Centennial,browm102,brownmo01
57,MVP,1913,NL,burnsge01,2.0,64,0.0,NL,NY1,George,Burns,George Joseph,burng101,burnsge01
58,MVP,1913,NL,chenela01,12.0,64,,NL,CHN,Larry,Cheney,Laurence Russell,chenl101,chenela01
59,MVP,1913,NL,cravaga01,40.0,64,,NL,PHI,Gavvy,Cravath,Clifford Carlton,cravg101,cravaga01
60,MVP,1913,NL,cutshge01,3.0,64,0.0,NL,BRO,George,Cutshaw,George William,cutsg101,cutshge01
61,MVP,1913,NL,daubeja01,50.0,64,,NL,BRO,Jake,Daubert,Jacob Ellsworth,daubj101,daubeja01
62,MVP,1913,NL,doolami01,6.0,64,0.0,NL,PHI,Mickey,Doolin,Michael Joseph,doolm101,doolami01
63,MVP,1913,NL,doylela01,5.0,64,0.0,NL,NY1,Larry,Doyle,Lawrence Joseph,doyll101,doylela01
64,MVP,1913,NL,eversjo01,10.0,64,,NL,CHN,Johnny,Evers,John Joseph,everj102,eversjo01
65,MVP,1913,NL,fletcar01,7.0,64,0.0,NL,NY1,Art,Fletcher,Arthur,fleta101,fletcar01
66,MVP,1913,NL,humphbe01,2.0,64,0.0,NL,CHN,Bert,Humphries,Albert,humpb101,humphbe01
67,MVP,1913,NL,knabeot01,4.0,64,0.0,NL,PHI,Otto,Knabe,Franz Otto,knabo101,knabeot01
68,MVP,1913,NL,maranra01,23.0,64,,NL,BSN,Rabbit,Maranville,Walter James Vincent,marar101,maranra01
69,MVP,1913,NL,marsaar01,2.0,64,0.0,NL,CIN,Armando,Marsans,Armando,marsa101,marsaar01
70,MVP,1913,NL,mathech01,21.0,64,,NL,NY1,Christy,Mathewson,Christopher,mathc102,mathech01
71,MVP,1913,NL,meyerch01,20.0,64,,NL,NY1,Chief,Meyers,John Tortes,meyec101,meyerch01
72,MVP,1913,NL,milledo02,11.0,64,,NL,PIT,Dots,Miller,John Barney,milld102,milledo02
73,MVP,1913,NL,murrare01,4.0,64,0.0,NL,NY1,Red,Murray,John Joseph,murrr103,murrare01
74,MVP,1913,NL,saiervi01,15.0,64,,NL,CHN,Vic,Saier,Victor Sylvester,saiev101,saiervi01
75,MVP,1913,NL,seatoto01,9.0,64,,NL,PHI,Tom,Seaton,Thomas Gordon,seatt102,seatoto01
76,MVP,1913,NL,shafeti01,5.0,64,0.0,NL,NY1,Tillie,Shafer,Arthur Joseph,shaft102,shafeti01
77,MVP,1913,NL,sweenbi02,6.0,64,0.0,NL,BSN,Bill,Sweeney,William John,sweeb102,sweenbi02
78,MVP,1913,NL,vioxji01,6.0,64,0.0,NL,PIT,Jim,Viox,James Henry,vioxj101,vioxji01
79,MVP,1913,NL,wagneho01,11.0,64,,NL,PIT,Honus,Wagner,John Peter,wagnh101,wagneho01
80,MVP,1913,NL,zimmehe01,4.0,64,0.0,NL,CHN,Heinie,Zimmerman,Henry,zimmh101,zimmehe01
81,MVP,1914,NL,alexape01,9.0,64,,NL,PHI,Pete,Alexander,Grover Cleveland,alexg102,alexape01
82,MVP,1914,NL,bresnro01,6.0,64,0.0,NL,CHN,Roger,Bresnahan,Roger Philip,bresr102,bresnro01
83,MVP,1914,NL,burnsge01,31.0,64,,NL,NY1,George,Burns,George Joseph,burng101,burnsge01
84,MVP,1914,NL,clarkto01,1.0,64,0.0,NL,CIN,Tommy,Clarke,Thomas Aloysius,clart101,clarkto01
85,MVP,1914,NL,cravaga01,1.0,64,0.0,NL,PHI,Gavvy,Cravath,Clifford Carlton,cravg101,cravaga01
86,MVP,1914,NL,daubeja01,4.0,64,0.0,NL,BRO,Jake,Daubert,Jacob Ellsworth,daubj101,daubeja01
